,created_at,id_str,text,source,in_reply_to_user_id,in_reply_to_screen_name,in_reply_to_status_id,retweet_count,contributors
0,Tue Nov 05 00:00:04 +0000 2013,397513609711874048,JUST GOT HOME AND SAW WE BROKE THE VEVO RECORD! IF YOU HELPED I LOVE YOU,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NULL,NULL,NULL,0,NULL
1,Tue Nov 05 00:00:04 +0000 2013,397513609732845568,We are here to play tough cricket: Richardson http://t.co/qNFIdXma8h,"<a href=""http://scoop.so"" rel=""nofollow"">SCOOP Hot News India</a>",NULL,NULL,NULL,0,NULL
2,Tue Nov 05 00:00:04 +0000 2013,397513609732816896,"I really love kids, always have always will.","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NULL,NULL,NULL,0,NULL
3,Tue Nov 05 00:00:04 +0000 2013,397513609728651265,RT @ertiaraa: RT @MeilindaMP: somebody that i used to know,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NULL,NULL,NULL,0,NULL
4,Tue Nov 05 00:00:04 +0000 2013,397513609741221888,RT @Harry_Styles: So that's it.,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",NULL,NULL,NULL,0,NULL
5,Tue Nov 05 00:00:04 +0000 2013,397513609724456961,I don't like this time change.,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NULL,NULL,NULL,0,NULL
6,Tue Nov 05 00:00:04 +0000 2013,397513609737015296,"vou procurar outra escola pro ano que vem, fodaceeee!",web,NULL,NULL,NULL,0,NULL
7,Tue Nov 05 00:00:04 +0000 2013,397513609737039873,"there's a show on HISTORY right now where they're talking about the world ending in 2012...uh, guys...it's over.... http://t.co/25b1W6WetK","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",NULL,NULL,NULL,0,NULL
8,Tue Nov 05 00:00:04 +0000 2013,397513609745420288,@sista_indrayani hehe makasi syg :* siapa lagi kalo bukan syg :D,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>",1193296183,sista_indrayani,397512497395023900,0,NULL
9,Tue Nov 05 00:00:04 +0000 2013,397513609741234176,RT @SayingsForGirls: One of the best feeling in the world is when you’re hugging the person you love and they hug you back even tighter.,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NULL,NULL,NULL,0,NULL
10,Tue Nov 05 00:00:04 +0000 2013,397513609716039681,@haaffiizz emang kenapa sbyy?,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",112436350,haaffiizz,397509665652609000,0,NULL
11,Tue Nov 05 00:00:04 +0000 2013,397513609741209600,Sainte Bertille - Moniale à Jouarre puis abbesse de Chelles (+ v. 705) #saintdujour http://t.co/VT74Mn6Vg1,"<a href=""http://nominis.cef.fr"" rel=""nofollow"">Nominis</a>",NULL,NULL,NULL,0,NULL
12,Tue Nov 05 00:00:04 +0000 2013,397513609720258560,@LisaKrabappel I'm tired ok (and I'm French so I'm allowed),web,1547210916,LisaKrabappel,397513335945842700,0,NULL
13,Tue Nov 05 00:00:04 +0000 2013,397513609716068352,#Temientosi 'no soy histérica',web,NULL,NULL,NULL,0,NULL
14,Tue Nov 05 00:00:04 +0000 2013,397513609724444672,it's so dark outside already for It to be barely 6.,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NULL,NULL,NULL,0,NULL
15,Tue Nov 05 00:00:04 +0000 2013,397513609711861760,【買い物:家族】「パパこれかってー！」「ダメだ。この前買ったばっかだろうが！」『まあまあ。でも何でこれが欲しいの？この前も同じの買ったでしょ？』「パパとママのぶんはないもん。おそろいがいいんだもん…」「……買ってやる」『歳三さんも甘いですね』「うるせー」 #薄桜鬼妄想吐き捨て場,"<a href=""http://hkokbot.blog.fc2.com/"" rel=""nofollow"">薄桜鬼妄想bot</a>",NULL,NULL,NULL,0,NULL
16,Tue Nov 05 00:00:04 +0000 2013,397513609711869952,@Mr_Shimotch 知ってるよ〜,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",140864999,Mr_Shimotch,397400222118080500,0,NULL
17,Tue Nov 05 00:00:04 +0000 2013,397513609724444673,"When crime shows use men that somehow remind me of my dad as victims/or the father of a victim, I cry sometimes...",web,NULL,NULL,NULL,0,NULL
18,Tue Nov 05 00:00:04 +0000 2013,397513609720250369,@Lifvaria27 @Novaarlinda39 iya mama,web,396539720,Lifvaria27,397311323232432100,0,NULL
19,Tue Nov 05 00:00:04 +0000 2013,397513609745403905,完全に風邪引いた,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NULL,NULL,NULL,0,NULL
20,Tue Nov 05 00:00:04 +0000 2013,397513609737428992,"That's the way to live, always do exactly as you're told.","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NULL,NULL,NULL,0,NULL
21,Tue Nov 05 00:00:04 +0000 2013,397513609724452864,"@hugomorais @luistheo @gabidogato Não fiz nada, mas precisando.",web,16155633,hugomorais,397512864476708860,0,NULL
22,Tue Nov 05 00:00:04 +0000 2013,397513609732820993,@_CortezBanging O. You Sound Hard ! Llab,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",297104795,_CortezBanging,397512149548797950,0,NULL
23,Tue Nov 05 00:00:04 +0000 2013,397513609733226496,Eu n te deixaria por uma aventura atoa e nem te trocaria por qualquer outra pessoa,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NULL,NULL,NULL,0,NULL
24,Tue Nov 05 00:00:04 +0000 2013,397513609724436480,@RastraAta tanya terus sampe di jawab.,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",544201689,RastraAta,397513392916660200,0,NULL
25,Tue Nov 05 00:00:04 +0000 2013,397513609708068864,RT @TorresMF: san pablo sos de lo mas pecho frio q hay #TodasPutas,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NULL,NULL,NULL,0,NULL
26,Tue Nov 05 00:00:04 +0000 2013,397513609724837889,"I just need a long hug.
That's all.","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NULL,NULL,NULL,0,NULL
27,Tue Nov 05 00:00:04 +0000 2013,397513609724448768,my booty today &gt; 😏😏😏,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NULL,NULL,NULL,0,NULL
28,Tue Nov 05 00:00:04 +0000 2013,397513609732833280,"@jonunited19 verdade, vamo no real na quinta!",web,1878709656,jonunited19,397510472037326850,0,NULL
29,Tue Nov 05 00:00:04 +0000 2013,397513609732820992,RT @NosTrendsBrasil: Maite Perroni é linda. #Rebelde046,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>",NULL,NULL,NULL,0,NULL
30,Tue Nov 05 00:00:04 +0000 2013,397513609707663360,"RT @jaime_funes: “@marcakaa: Ya con nuevos diseños,nuevas colaboraciones ! Listos para el 7 de diciembre !alla nos vemos” / Ahí nos vemos! …","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NULL,NULL,NULL,0,NULL
31,Tue Nov 05 00:00:04 +0000 2013,397513609708064768,I like soccer moms... A lot,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NULL,NULL,NULL,0,NULL
32,Tue Nov 05 00:00:04 +0000 2013,397513609741602816,essa musica do costa ouro com o zrm ficou pesada,"<a href=""http://www.tweetdeck.com"" rel=""nofollow"">TweetDeck</a>",NULL,NULL,NULL,0,NULL
33,Tue Nov 05 00:00:04 +0000 2013,397513609724821504,"Leon County Greenway Day this past weekend was a hit! Many Tallahasseeans came out for a day of fun and activities. 
http://t.co/SGHYm1vnae","<a href=""http://www.grosocial.com"" rel=""nofollow"">GroSocial</a>",NULL,NULL,NULL,0,NULL
34,Tue Nov 05 00:00:04 +0000 2013,397513609720639488,"@seanpaul_D happy birthday bey, have a good one!","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>",1308193608,seanpaul_D,NULL,0,NULL
35,Tue Nov 05 00:00:04 +0000 2013,397513609708072960,entonces te voy a tener que destruir...ah,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>",NULL,NULL,NULL,0,NULL
36,Tue Nov 05 00:00:04 +0000 2013,397513609737019392,@linkketchum13 yes,web,575995584,linkketchum13,397500687212617700,0,NULL
37,Tue Nov 05 00:00:04 +0000 2013,397513609716043776,キンツブなう！禁煙開始から7日と15時間継続中！  http://t.co/57mGbEzcoD 【 命の木の成長を確認する → http://t.co/aqcPIDJNio 】 #kinen #禁煙,"<a href=""http://kinen-tsubuyaki.com/"" rel=""nofollow"">キンツブ</a>",NULL,NULL,NULL,0,NULL
38,Tue Nov 05 00:00:04 +0000 2013,397513609724850177,Mañana es día del pantalón horroroso .! -.-.'',"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NULL,NULL,NULL,0,NULL
39,Tue Nov 05 00:00:04 +0000 2013,397513609729015808,RT @tousaintt: Yo Convoco ►Tu convocas ▼Él Convoca ▲Nosotros Convocamos Este #9NPrimeraMarchaAutoconvocada #Venezuela #Caracas #9N http://t…,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",NULL,NULL,NULL,0,NULL
40,Tue Nov 05 00:00:04 +0000 2013,397513609729048576,@ichabeeli a una que le pasaron mí num toneja :(,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",868697942,ichabeeli,397509559075368960,0,NULL
41,Tue Nov 05 00:00:04 +0000 2013,397513609716445185,My first ever varsity game tomorrow!!,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NULL,NULL,NULL,0,NULL
42,Tue Nov 05 00:00:04 +0000 2013,397513609720639489,@kerridonneelly_ ohh nooooo donns😭,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1311166634,kerridonneelly_,397513508554039300,0,NULL
43,Tue Nov 05 00:00:04 +0000 2013,397513609737412608,"@ana_aLbaCruz Jajajajajajajaja lechugo??? Algo así, pero tendríamos que seguir pescando animalitos... Que bueno!!!","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",329721254,ana_aLbaCruz,397512920181252100,0,NULL
44,Tue Nov 05 00:00:04 +0000 2013,397513609729032192,RT @OG_Nino: girls dat can cook &gt;&gt;&gt; 🙌,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NULL,NULL,NULL,0,NULL
45,Tue Nov 05 00:00:04 +0000 2013,397513609745801216,"Even I have to give him props. If it wasn't for this song, most of us wouldn't of been pumped for this or other... http://t.co/uBb6ga9vQW","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",NULL,NULL,NULL,0,NULL
46,Tue Nov 05 00:00:04 +0000 2013,397513609724850176,"RT @flyd3mi: ""quando o sorriso de alguém vira o motivo do seu, isso é amor"" http://t.co/EOsGIiNxyu","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>",NULL,NULL,NULL,0,NULL
47,Tue Nov 05 00:00:04 +0000 2013,397513609716445184,@PrayForRicksen @CraigBeats true inspiration . #keepfighting,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2161717827,PrayForRicksen,397025555432087550,0,NULL
48,Tue Nov 05 00:00:04 +0000 2013,397513609741627392,@costaiss @mickeyzoero é desnecessário ele saber? Vai que ele quer te pegar tbm...,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1559017502,costaiss,397512170532913150,0,NULL
49,Tue Nov 05 00:00:04 +0000 2013,397513609720643584,"@_castieI when you livetweet under the dome I get super confused and assume that you're talking about Barbie the doll, not the character","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",307345169,_castieI,397496815073108000,0,NULL
50,Tue Nov 05 00:00:04 +0000 2013,397513609729040384,I be keepin it too real bruh i swea,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>",NULL,NULL,NULL,0,NULL
51,Tue Nov 05 00:00:04 +0000 2013,397513609741213696,@_chulwoo 윤조 보러 오세요오,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>",1186865016,_chulwoo,397511987262808060,0,NULL
52,Tue Nov 05 00:00:04 +0000 2013,397513609737035776,@mayo_mog マヨちんおはよう～せやな、工藤,"<a href=""http://twtr.jp"" rel=""nofollow"">Keitai Web</a>",175958186,mayo_mog,397489279795855360,0,NULL
53,Tue Nov 05 00:00:04 +0000 2013,397513609724850178,@Fkarbin tror att jag typ e enda göteborgaren som aldrig satt min fot på volvo haha. Varför jobba kväll då? Stämmee att jag pluggar :),"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",265066091,Fkarbin,397512401018691600,0,NULL
54,Tue Nov 05 00:00:04 +0000 2013,397513609741225984,“@brendaaplayaa: I can act so happy but then I'm all sad and shit”,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1360405374,brendaaplayaa,397513556641325060,0,NULL
55,Tue Nov 05 00:00:04 +0000 2013,397513609720635392,RT @Jeidy_Emily: @sammysophiaa @1999_melii Claro que sii ! Ellos ya son los ganadores del Records en Youtube  !,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",NULL,NULL,NULL,0,NULL
56,Tue Nov 05 00:00:04 +0000 2013,397513609745809408,"Prohibido tomar decisiones Permanentes, Sobre emociones Temporales.","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>",NULL,NULL,NULL,0,NULL
57,Tue Nov 05 00:00:04 +0000 2013,397513609712246784,Triste s:,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NULL,NULL,NULL,0,NULL
58,Tue Nov 05 00:00:04 +0000 2013,397513609741230080,@CORTnotCOURT 🙏🙏🙏🙏,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",181389190,CORTnotCOURT,397410566429769700,0,NULL
59,Tue Nov 05 00:00:04 +0000 2013,397513609716047872,"@Lisa_Pino LMAO!!! That's so me!! Waffles, cereal, eggs, ALL DAY!!","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",418502222,Lisa_Pino,397512642744836100,0,NULL
60,Tue Nov 05 00:00:04 +0000 2013,397513609716432896,@_FlyHighSMILES guess what I'm doing😂,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1352352396,_FlyHighSMILES,NULL,0,NULL
61,Tue Nov 05 00:00:04 +0000 2013,397513609741225985,"@windidamarr kalo itu makasih deh win, makasih banget :'(  kalo digarden aku mau deh.","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>",406726895,windidamarr,397512377526018050,0,NULL
62,Tue Nov 05 00:00:04 +0000 2013,397513609720647680,"RT @AnaPolii: Las oficinas de vevo en estos momentos:
#VevoGiveUsOur13MillionViewsBack http://t.co/AER9feB2hw","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NULL,NULL,NULL,0,NULL
63,Tue Nov 05 00:00:04 +0000 2013,397513609712250881,@38la6fi بس مانبي جن http://t.co/ma39s3bDur,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1662150362,38la6fi,397511671629217800,0,NULL
64,Tue Nov 05 00:00:04 +0000 2013,397513609720250368,Banquet selfie http://t.co/QWGseOrCdm,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>",NULL,NULL,NULL,0,NULL
65,Tue Nov 05 00:00:05 +0000 2013,397513613901975552,"http://t.co/llNY2N1aRC скачать хорошую но маленькую программу учет склад и продажи
 http://t.co/llNY2N1aRC","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>",NULL,NULL,NULL,0,NULL
66,Tue Nov 05 00:00:05 +0000 2013,397513613918760960,"Itu makanya om jangan terlalu milih2 hahhaha RT @Ommar1976: @Arsion_Silaban harus ""om yg sudah menemukan cinta nya""","<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for BlackBerry</a>",NULL,NULL,NULL,0,NULL
67,Tue Nov 05 00:00:05 +0000 2013,397513613910364160,悟也と脳味噌交換したいな。そうしたら、悟也の考えてる事全部わかるかな？,"<a href=""http://winter.vivian.jp/tdbot/"" rel=""nofollow"">あなたの知らないどこか</a>",NULL,NULL,NULL,0,NULL
68,Tue Nov 05 00:00:05 +0000 2013,397513613922942976,"Por favor espero que haya Wifi en el hotel, sino incomunicada con el mundo",web,NULL,NULL,NULL,0,NULL
69,Tue Nov 05 00:00:05 +0000 2013,397513613935521792,I then listened to meek mills lit oo killem song like 8 times today,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NULL,NULL,NULL,0,NULL
70,Tue Nov 05 00:00:05 +0000 2013,397513613918736385,『カナダの原野を3ヶ月さまよったハイカー　襲い掛かる熊を追い払った愛犬を食べ生還　非難の声も』芸能ニュース24｜http://t.co/MlrTRSsg5L,"<a href=""http://blog.seesaa.jp/"" rel=""nofollow"">SeesaaBlog</a>",NULL,NULL,NULL,0,NULL
71,Tue Nov 05 00:00:05 +0000 2013,397513613922942977,@KLetts Happy Birthday! 😊,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",619775306,KLetts,NULL,0,NULL
72,Tue Nov 05 00:00:05 +0000 2013,397513613901955072,胸の大きさなんて関係ないと思います。,"<a href=""http://minuet.sub.jp/carrot-ueshimasan.html"" rel=""nofollow"">人参畑</a>",NULL,NULL,NULL,0,NULL
73,Tue Nov 05 00:00:05 +0000 2013,397513613939728384,Mama told me to watch these bitches. Dad told me to watch these niggas.,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NULL,NULL,NULL,0,NULL
74,Tue Nov 05 00:00:05 +0000 2013,397513613901971456,"　tOccxAr
：변화

- jUmbAdjA","<a href=""http://sgsg.egloos.com"" rel=""nofollow"">EB_temp_ArtoSurge</a>",NULL,NULL,NULL,0,NULL
75,Tue Nov 05 00:00:05 +0000 2013,397513613918752768,Amo a valentina,web,NULL,NULL,NULL,0,NULL
76,Tue Nov 05 00:00:05 +0000 2013,397513613931323392,"RT @narryargh: ""vevo finished the count""

""vevo hasn't finished the count""

""we beat the record""

""we didnt""

[flo ridas voice]
u spin my h…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NULL,NULL,NULL,0,NULL
77,Tue Nov 05 00:00:05 +0000 2013,397513613918736384,http://t.co/woOOZXAauc инструкция подразделений дорожной инспекции http://t.co/SPJBFfaZxJ мануалсхема d840,web,NULL,NULL,NULL,0,NULL
78,Tue Nov 05 00:00:05 +0000 2013,397513613935513600,quero mais treta na novela osadispfoisd,web,NULL,NULL,NULL,0,NULL
79,Tue Nov 05 00:00:05 +0000 2013,397513613906153472,@wishbeatles esse ship is over.,web,1323605060,wishbeatles,397513338428870660,0,NULL
80,Tue Nov 05 00:00:05 +0000 2013,397513613927129088,I feel like one of my lecturers is secretly a pornstar or on some Fifty Shades shit.,web,NULL,NULL,NULL,0,NULL
81,Tue Nov 05 00:00:05 +0000 2013,397513613910343680,kkkkk manda minha mae final de semana ir pra manhu so volta domingo anoite kkkkkkkkkkkkkkkkkkk,web,NULL,NULL,NULL,0,NULL
82,Tue Nov 05 00:00:05 +0000 2013,397513613931335680,@fumi_1108 いや、それうちも思うから大丈夫ｗｗｗｗｗｗガタッってなれ！とかｗｗｗｗｗｗｗｗｗｗｗｗ,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",394473167,fumi_1108,397511893465575400,0,NULL
83,Tue Nov 05 00:00:05 +0000 2013,397513613939732481,"RT @NFL_Stats: Some Eli Manning Faces to enjoy:

#Giants http://t.co/Z7RTqk85DI","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NULL,NULL,NULL,0,NULL
84,Tue Nov 05 00:00:05 +0000 2013,397513613918740480,como aaa gnt mudoou com esse passar dos anoos ...,web,NULL,NULL,NULL,0,NULL
85,Tue Nov 05 00:00:05 +0000 2013,397513613906165760,IT'S MY BLUDCLARRRRT BIRTHDAY NIGGAAAAAAAA💃😫🎉1⃣8⃣,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NULL,NULL,NULL,0,NULL
86,Tue Nov 05 00:00:05 +0000 2013,397513613914562560,"Yang kek gituan, buang aja ke empang""@fyrubiee: Kalo udah Follow, jangan main Unfoll bisa ? Jangan Sok Famous juseyeo (⌒˛⌒) let's be fri","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>",NULL,NULL,NULL,0,NULL
87,Tue Nov 05 00:00:05 +0000 2013,397513613901963264,I’m holding on forever. Reaching for a love that seem so far,web,NULL,NULL,NULL,0,NULL
88,Tue Nov 05 00:00:05 +0000 2013,397513613906165761,"RT @sluttyboyRoe: We Live Ina Generation Were Goin Back &amp; Forth To Jail Is COOL, Smokin &amp; Drinkin Is COOL, Havin Babies Is A TREND &amp; LOVE I…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NULL,NULL,NULL,0,NULL
89,Tue Nov 05 00:00:05 +0000 2013,397513613902368768,Y hasta cruce  algunas miradas con el dj.,"<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>",NULL,NULL,NULL,0,NULL
